原神1
ああるむら	アアル村
あうたけへいげん	アウタケ平原
あかつきわいなりー	アカツキワイナリー
あくしょんかーど	アクションカード
あくしょんふぇーず	アクションフェーズ
あさせじんじゃ	浅瀬神社
あさせひびき	浅瀬響
あしぱとら・ゔぁなのぬま	アシパトラ・ヴァナの沼
あしぱとらゔぁなのぬま	アシパトラ・ヴァナの沼
あしゃゔぁんれるむ	アシャヴァンレルム
あぞすぶっしつ	アゾス物質
あつこ	竺子
あぱーむそうりん	アパーム叢林
あびさるゔぃしゃっぷ	アビサルヴィシャップ
あびさるどらごえあ	アビサルドラゴエア
あびすのえいしょうしゃ	アビスの詠唱者
あびすのしと	アビスの使徒
あびでぃあのもり	アビディアの森
あふまる	アフマル
あふらしあぶどうくつ	アフラシアブ洞窟
あぺぷ	アペプ
あぺぷのおあしすしゅごしゃ	アペプのオアシス守護者
あまかねじま	甘金島
あまくもくさ	天雲草
あまぐもくさ	天雲草
あまくもそう	天雲草
あまぐもそう	天雲草
あまくもとうげ	天雲峠
あめのま	天目
あめのまりゅう	天目流
あやか	綾華
あやっくす	アヤックス
あやと	綾人
あらいしのそうばく	荒石の蒼漠
あらうみ	荒海
あらたきいっと	荒瀧一斗
あらんなら	アランナラ
あらんらからり	アランラカラリ
ありす	アリス
ある・すーくるきゅうでん	アル・スークル宮殿
ある・ぬはすのみやこ	アル・ヌハスの都
ある・むあざんきゅうでん	アル・ムアザン宮殿
あるあじふのすな	アル・アジフの砂
あるいんきだのあんぐう	アル・インキダの行宮
あるかさるざらいぱれす	アルカサルザライパレス
あるけー	アルケー
あるすーくるきゅうでん	アル・スークル宮殿
あるだらびかこく	アルダラビ河谷
あるぬはすのみやこ	アル・ヌハスの都
あるはいぜん	アルハイゼン
あるべど	アルベド
あるまじゅじきょうこく	アル・マジュジ峡谷
あるむあざんきゅうでん	アル・ムアザン宮殿
あわあわたつのこ	アワアワタツノコ
あんじぇりっくあぷりしあ	アンジェリックアプリシア
あんどりあす	アンドリアス
あんばー	アンバー
あんみんのち	安眠の地
いあんさ	イアンサ
いーでぃす	イーディス
いぇらん	夜蘭
いぐさ	イグサ
いすたろと	イスタロト
いせききへい	遺跡機兵
いせきさーぺんと	遺跡サーペント
いせきじゅんししゃ	遺跡巡視者
いせきせんめつしゃ	遺跡殲滅者
いせきていしゃつしゃ	遺跡偵察者
いせきどれいく	遺跡ドレイク
いせきぼうえいしゃ	遺跡防衛者
いっしんでん	一心伝
いなずまじょう	稲妻城
いのちのせいざ	命ノ星座
いべんとかーど	イベントカード
いむのようばい	異夢の溶媒
いらいにんむ	依頼任務
いんていわっと	インテイワット
いんろんは	因論派
ゔぁーな	ヴァーナ
ゔぁざーりかいろう	ヴァザーリ回廊
ゔぁなき	ヴァナキ
ゔぁならーな	ヴァナラーナ
ゔぁねっさ	ヴァネッサ
ゔぃしゃっぷ	ヴィシャップ
ゔぃしゅっだへんど	ヴィシュッダ辺土
ゔぃぱりゃす	ヴィパリャス
ゔぃまらむら	ヴィマラ村
うーしあ	ウーシア
うぇすと・おとんぬき	ウェスト・オトンヌキ
うぇすとおとんぬき	ウェスト・オトンヌキ
うぇねと	ウェネト
うぇねととんねる	ウェネトトンネル
うぇるぷ	ウェルプ
うぇんてぃ	ウェンティ
うさぎはくしゃく	ウサギ伯爵
うどぅんばら	ウドゥンバラ
うみぞめしゃこ	海染硨磲
うみれいし	ウミレイシ
うらくさい	有楽斎
うんかんしゃ	雲翰社
うんきん	雲菫
うんらいのうみ	雲来の海
えい	影
えいえんのおあしす	永遠のオアシス
えうるあ	エウルア
えげりあ	エゲリア
えっさんしゅ	謁賛主
