原神2
だくすいげんれい	濁水幻霊
だくすいふんさいのげんれい	濁水粉砕の幻霊
だくすいふんしゅつのげんれい	濁水噴出の幻霊
たけざい	竹材
だじゅう	駄獣
だだうぱのたに	ダダウパの谷
たたらすな	たたら砂
たにっとろえいち	タニット露営地
だまーゔぁんどさん	ダマーヴァンド山
たまりすくざい	タマリスク材
たらったかいていこく	タラッタ海底谷
たるたりや	タルタリヤ
たんしゃがい	丹砂崖
ちえのかんむり	知恵の冠
ちおり	千織
ちおりや	千織屋
ちかいのみさき	誓いの岬
ちかしつげん	地下湿原
ちこざかな	チ虎魚
ちじょうこうく	地上鉱区
ちぞめのきし	血染めの騎士
ちちゅうのしお	地中の塩
ちゃとらかむどうくつ	チャトラカム洞窟
ちょううん	重雲
ちょうげきか	超激化
ちょうさいえいごうどれいく	兆載永劫ドレイク
ちょうさいようごうどれいく	兆載永劫ドレイク
ちらいしゃでん	チライ社殿
ちれいだん	地霊壇
ちろんは	知論派
ちんぎょく	沈玉
ちんしゅのもり	鎮守の森
ちんわときょうこく	チンワト峡谷
つぁれーゔぃち	ツァレーヴィチ
つきおいさい	月逐い祭
つるみ	鶴観
でぃおな	ディオナ
でいさんだー	デイサンダー
でぃしあ	ディシア
てぃなり	ティナリ
てぃみー	ティミー
でぃるっく	ディルック
ていわっと	テイワット
でーゔぁーんたかやま	デーヴァーンタカ山
でからびあん	デカラビアン
てきかしゅう	荻花洲
てっこうようえんていおう	鉄甲熔炎帝王
てつなざん	鉄和山
てつほう	鉄蜂
てつほうのさし	鉄蜂の刺し
てんきゅうのたに	天穹の谷
てんくうきこう	天空紀行
てんこうきょう	天工峡
てんこうざん	天衡山
でんせつにんむ	伝説任務
てんとがめ	テントガメ
てんねんじゅし	天然樹脂
どういつげんそ	同一元素
とうきょく	冬極
とうごく	冬極
どうじゃく	銅雀
どうてん	洞天
どうてんほうせん	洞天宝銭
とぅにぎのこくえん	トゥニギの黒淵
とぅらいとぅーら	トゥライトゥーラ
どぅらふ	ドゥラフ
どぅる・かるないんとうげ	ドゥル・カルナイン峠
どぅるかるないんとうげ	ドゥル・カルナイン峠
とうれいか	悼霊花
とーま	トーマ
どーれい	ドーレイ
とくじゅんたい	特巡隊
とげばらのかい	棘薔薇の会
とことこいわまっしゅろん	トコトコ岩マッシュロン
とことこみずまっしゅろん	トコトコ水マッシュロン
とこよのさや	常世の莢
とこよれいびょう	常夜霊廟
とてもあかるいばしょ	とても明るい場所
とてもあったかいばしょ	とてもあったかい場所
どどこ	ドドコ
どどりあん	ドドリアン
どにあざーど	ドニアザード
とびへび	トビヘビ
とらいすてーと	トライステート
どらごんすぱいん	ドラゴンスパイン
どりー	ドリー
とんぎょくのおか	遁玉の丘
なゔぃあ	ナヴィア
なゔぃあせん	ナヴィア線
ながるじゅなだん	ナガルジュナ団
なぐさ	鳴草
なた	ナタ
なづちのはま	名椎の浜
なな	七七
なひーだ	ナヒーダ
なぶ・まりかった	ナブ・マリカッタ
なぶまりかった	ナブ・マリカッタ
なるかみおおやしろ	鳴神大社
なるかみじま	鳴神島
なるぼんぬえりあ	ナルボンヌエリア
なんてんもん	南天門
にーべるんげん	ニーベルンゲン
にぃろう	ニィロウ
にわかつらぎ	丹羽桂木
ぬゔぃれっと	ヌヴィレット
ねこ	寝子
のうしゅくじゅし	濃縮樹脂
のえる	ノエル
ぱーゔぇず	パーヴェズ
ぱーゔぇずらゔぁん	パーヴェズラヴァン
ばーてぃんのちんきかん	バーティンの珍奇館
ばーばら	バーバラ
はーるゔだん	ハールヴダン
はうすおぶはーす	壁炉の家
ばくえんじゅ	爆炎樹
はざまのまち	狭間の街
ぱたぱたくさまっしゅろん	パタパタ草マッシュロン
ぱたぱたこおりまっしゅろん	パタパタ氷マッシュロン
ばっせい	跋掣
ばつなん	伐難
はっらのみ	ハッラの実
ぱてぃさら	パティサラ
ばどるどー	バドルドー
はなちるさと	花散里
ぱねーす	パネース
ばぶるおれんじ	バブルオレンジ
ぱるじふぁる	パルジファル
ばるそむのおか	バルソムの丘
ぱるでぃすでぃあい	パルディスディアイ
はるのすけ	晴之介
ばるばとす	バルバトス
ぱれ・めるもにあ	パレ・メルモニア
ぱれめるもにあ	パレ・メルモニア
はんえいきゅうとうせいまとりっくす	半永久統制マトリックス
ばんがん	磐岩
ばんがんけつろく	磐岩結緑
ばんしゅぼじゅ	万種母樹
ばんのうげんそ	万能元素
ばんみんどう	万民堂
ひおうきゅう	緋櫻毬
ひぎせいでん	秘儀聖殿
ひぎむら	緋木村
ひじょうのおか	避譲の丘
びゃくじゅつ	白朮
ひゃくにんいっき	百人一揆
ひゃっかちんぴん	百貨珍品
びゃっこのや	白狐の野
ひょうけいじゅつし	氷蛍術士
ひょうふうくみきょく	氷風組曲
ひらい	飛雷
ひらいのめいげん	飛雷の鳴弦
ひらうみとりで	平海砦
ひるちゃーる	ヒルチャール
ひるちゃーるれんじゃー	ヒルチャールレンジャー
ぴんばあや	ピンばあや
ふぁでゅい	ファデュイ
ふぁとぅす	ファトゥス
ふぁらくけるとのその	ファラクケルトの園
ふぁるか	ファルカ
ふぁるざん	ファルザン
ふぁんとむはんたー	ファントムハンター
ふぃっしゅる	フィッシュル
ふぃんどにーる	フィンドニール
ふうしゃあすたー	風車アスター
ふうしょくうぇねと	風蝕ウェネト
ふーたお	胡桃
ふーまい	フーマイ
ふうようけん	風鷹剣
ふうりゅうはいきょ	風龍廃墟
ふぉかろるす	フォカロルス
ふぉるとぅな	フォルトゥナ
ふぉんてーぬ	フォンテーヌ
ふぉんてーぬかがくいん	フォンテーヌ科学院
ふぉんてーぬてい	フォンテーヌ廷
ふぉんてーぬていちく	フォンテーヌ廷地区
ぷかぷかかぜきのこん	プカプカ風キノコン
ぷかぷかくさきのこん	プカプカ草キノコン
ぷかぷかみずきのこん	プカプカ水キノコン
ぷくぷくじゅう	プクプク獣
ふごうのたに	伏鰲の谷
ふじとうとりで	藤兜砦
ふしゃ	浮舎
ぷすぱかふぇ	プスパカフェ
ぷねうま	プネウマ
ぷねうむしあ	プネウムシア
ぷねうむしあついしょうめつえねるぎー	プネウムシア対消滅エネルギー
ふぼくろ	不卜廬
ふめつのげっか	不滅の月華
ぷらいまるこうぞうたい	プライマル構造体
ふらいむ	フライム
ぶりーちゃーぷりむす	ブリーチャープリムス
ふりーな	フリーナ
ぷりゅいろーたす	プリュイロータス
ふれみね	フレミネ
ぶろーちく	ブロー地区
ふろーらるりんぐだんさー	フローラルリングダンサー
へいぞう	平蔵
へうりあ	ヘウリア
へきすいのはら	碧水の原
へきろのいえ	壁炉の家
ぺっち	ペッチ
べねっと	ベネット
へびがみのくび	蛇神の首
べりるちく	ベリル地区
ほういんのおか	飽飲の丘
ほうじ	宝児
ぼうしくらげ	ボウシクラゲ
ぼうじょりょかん	望舒旅館
ほうとうだん	宝盗団
ぼうふうかいかく	望風海角
ぼうふうさんち	望風山地
ほうろうしゃ	放浪者
ぼうろうむら	望瀧村
ほうろうりょう	奔狼領
ぽーと・まるこっと	ポート・マルコット
ぽーとまるこっと	ポート・マルコット
ぼくそのはこ	睦疎の箱
ほくと	北斗
ほしおちのたに	星落ちの谷
ほしおとしのみずうみ	星落としの湖
ほしひろいのがけ	星拾いの崖
ほしほたるのどうくつ	星蛍の洞窟
ほてる・どぅぼーる	ホテル・ドゥボール
ほてるどぅぼーる	ホテル・ドゥボール
